매장번호,매장명,매장주소,24시간서비스,연락처
479,군산대,"
전라북도 군산시 황룡로 10 
",NO,063-471-1911
478,마산이마트,"
경남 창원시 마산합포구 서성로3  
",NO,070-8648-1709
477,가산그레이트밸리,"
서울 금천구 디지털로9길 32 
",NO,02-866-7119
476,서울시립대학교,"
서울특별시 동대문구 서울시립대로 163 
",NO,02-6490-5866
475,부산개금,"
부산광역시 부산진구 가야대로 486 해동빌딩 1층  
",NO,051-892-0929
474,수원로데오,"
경기 수원시 팔달구 매산로 7 
",NO,031-244-0889
473,보령DT,"
충청남도 보령시 한내로 62 
",NO,041-936-1771
472,방학역,"
서울특별시 도봉구 도봉로 684 
",NO,02-956-1237
471,광명일직,"
경기도 광명시 양지로19, 어반브릭스B동 1층 
",NO,02-899-6690
470,덕성여대,"
서울특별시 도봉구 삼양로 538 
",NO,02-6369-1990
469,광주선운,"
광주광역시 광산구 어등대로 418 
",NO,062-943-1116
468,인천작전,"
인천광역시 계양구 계양대로 38, 1층 102호 103호 
",NO,070-8824-5882
467,포항남부DT,"
경상북도 포항시 새천년대로 526 
",NO,054-278-0989
466,용인기흥롯데프리미엄아울렛,"
경기도 용인시 기흥구 신고매로 124 
",NO,031-803-6336
465,창원중앙역,"
경남 창원시 의창구 용동로 85 
",NO,055-609-8787
464,천안백석,"
충남 천안시 서북구 동서대로 47(두정동) 
",NO,041-566-4297
463,평택고덕,"
경기 평택시 고덕면 고덕여염9길 40 
",NO,031-647-0151
462,파주LGD,"
경기도 파주시 월롱면 엘지로 245 
",NO,031-933-0659
461,논산,"
충남 논산시 내동 314-6 
",NO,041-734-9595
460,대구이시아폴리스,"
대구광역시 동구 팔공로 51길 15-8 1층 103호
",NO,053-985-6589
459,중곡역,"
서울시 광진구 중곡동 30-80 
",NO,02-456-9665
458,양산덕계메가마트,"
경남 양산시 덕계로 60-1 C동 1층
",NO,070-8615-8889
457,충무로,"
서울 중구 퇴계로 197 
",NO,02-2277-0883
456,나주혁신,"
전라남도 나주시 빛가람로 677 
",NO,061-335-1110
455,하남미사역,"
경기도 하남시 미사강변동로 74 
",NO,031-792-1146
454,울산야음,"
울산 남구 수암로 138 
",NO,052-700-8565
453,성남남위례역,"
경기도 성남시 위례광장로 21-13 120, 121, 122호 
",NO,031-751-5582
452,고양식사,"
경기도 고양시 일산동구 위시티로 18 
",NO,031-965-9400
451,신림,"
서울 관악구 신림로 318 
",NO,02-888-8884
450,수원능실,"
경기 수원시 권선구 호매실동 1401 중앙파크뷰 
",NO,031-292-8624
449,진주경상대칠암캠퍼스,"
경남 진주시 동진로 30 
",NO,055-759-4999
448,동탄역,"
경기도 화성시 동탄역로150   롯데캐슬 트리니티 118
",NO,031-374-6040
447,판교역,"
경기 성남시 분당구 삼평동 741 
",NO,031-604-2580
446,남양주다산역,"
경기도 남양주시 다산중앙로 145번길 9 
",NO,031-566-8842
445,경산대구대,"
경상북도 경산시 진량읍 대구대로 201 과학생명융합대학 3호관 
",NO,053-856-7073
444,광주유스퀘어,"
광주광역시 서구 무진대로 904 
",NO,062-361-1121
443,산본사거리,"
경기도 군포시 고산로 694 
",NO,031-392-3327
442,은평구청,"
서울시 은평구 은평로 200-1 
",NO,02-388-1479
441,인천산곡역,"
인천시 부평구 길주로 364번길 9 
",NO,032-361-7848
440,수원천천,"
경기도 수원시 장안구 만석로19번길 11-2 
",NO,031-271-0703
439,중계은행사거리,"
서울특별시 노원구 한글비석로 269 
",NO,02-952-2266
438,화성송산그린시티,"
경기도 화성시 수노을중앙로 130 
",NO,031-355-9152
437,테헤란로,"
서울특별시 강남구 테헤란로 314 지하1층
",YES,02-555-1014
436,부산롯데백화점광복,"
부산시 중구 중앙대로2 4층 
",NO,051-678-3430
435,대구율하롯데몰,"
대구광역시 동구 안심로 80, 1층(율하동, 롯데쇼핑프라자) 
",NO,053-607-2780
434,광주신용,"
광주 북구 첨단연신로 91번길 10 
",NO,062-575-0614
433,상봉역,"
서울특별시 중랑구 망우로 316 
",NO,02-432-2938
432,부산하단아트몰링,"
부산시 사하구 낙동남로1413 
",NO,051-999-7301
431,광주신창,"
광주광역시 광산구 신창로 121 1층 
",NO,062-953-1131
430,고양원흥역,"
경기도 고양시 덕양구 원흥5로 25 
",NO,031-965-9965
429,신정네거리역,"
서울특별시 양천구 중앙로 265 
",NO,02-2607-9979
428,애오개역,"
서울특별시 마포구 마포대로 180 
",NO,02-702-7672
427,정릉,"
서울 성북구 보국문로 40 
",NO,02-6498-8889
426,인천송도지웰푸르지오시티,"
인천 연수구 하모니로 144 
",NO,032-831-7900
425,신금호역,"
서울 성동구 금호로 173 
",NO,02-2235-6392
424,인천검단사거리,"
인천시 서구 완정로 159 
",NO,032-567-1995
423,대전건양대병원,"
대전광역시 서구 관저동로 170 1층, 108~109호
",NO,042-545-5451
422,인천서창,"
인천시 남동구 서창남로41 
",NO,032-471-6699
421,창원파티마병원,"
경상남도 창원시 의창구 창이대로 45 창원파티마병원
",NO,070-4791-1700
420,수원역사,"
경기도 수원시 팔달구 덕영대로924 
",NO,031-240-0889
419,부산연산트레이더스,"
부산광역시 연제구 연산동 137-5 
",NO,051-751-1005
418,부천원종,"
경기도 부천시 소사로 742 
",NO,070-7762-7770
417,고양원당,"
경기도 고양시 덕양구 호국로 781 
",NO,031-967-1333
416,천호역,"
서울 강동구 천호대로 1012  
",NO,02-483-1079
415,울산송정,"
울산광역시 북구 화산로 115 106,107호
",NO,052-286-9988
414,학동역,"
서울 강남구 학동로 171 
",YES,02-515-1014
413,대구다사,"
대구광역시 달성군 다사읍 달구벌대로 855 
",NO,070-4143-6238
412,창원유니시티,"
경상남도 창원시 의창구 중동중앙로 47 어반브릭스
",NO,055-255-2439
411,전주송천DT,"
전라북도 전주시 덕진구 동부대로 1004 
",NO,063-255-1121
410,세종시청,"
세종특별자치시 한누리대로 2144 1F #101~103동
",NO,044-868-0245
409,노량진역,"
서울 동작구 노량진로 152-1 
",YES,02-815-1014
408,상일동,"
서울특별시 강동구 상일로6길 21 
",NO,070-8800-0217
407,광주봉선,"
광주광역시 남구 봉선로 176 
",NO,062-673-0007
406,울산덕신,"
울산광역시 울주군 온산읍 덕신로 261 
",NO,052-239-0093
405,동탄하나로클럽,"
경기도 화성시 동탄순환대로27길 30 1층
",NO,031-376-1418
404,의왕포일,"
경기도 의왕시 안양판교로 101 1층
",NO,031-422-7175
403,양주옥정,"
경기도 양주시 옥정로 214 106호,107호 
",NO,031-858-2270
402,화성봉담,"
경기도 화성시 봉담읍 동화길 51 
",NO,031-5183-3960
401,부천옥길,"
경기도 부천시 양지로 205 근생 113,1145호
",NO,032-345-4907
400,울산진장,"
울산광역시 북구 진장17길 10 1층
",NO,052-916-0186
399,창원대동백화점,"
경상남도 창원시 성산구 원이대로 730 1층
",NO,055-212-8899
398,구로NC,"
서울특별시 구로구 구로중앙로 152 
",NO,02-6923-2155
397,묵동,"
서울특별시 중랑구 동일로 952 101-1호
",NO,02-978-3434
396,용인김량장,"
경기도 용인시 처인구 금령로 71번길 3 
",NO,031-328-2929
395,경산하양,"
경상북도 경산시 하양읍 하양로 34 
",NO,053-857-5761
394,광주오치,"
광주광역시 북구 설죽로 334 
",NO,062-464-8848
393,등촌역,"
서울특별시 양천구 공항대로 552 101호
",NO,02-6053-2543
392,울산구영,"
울산광역시 울주군 범서읍 구영로 108 
",NO,052-248-8236
391,의정부역,"
경기도 의정부시 신흥로 257번길 6 
",YES,031-878-7811
390,양산증산,"
경상남도 양산시 물금읍 야리1길 17 
",NO,055-781-2236
389,광주금호,"
광주광역시 서구 금화로 58 1층
",NO,062-681-1121
388,통영무전,"
경상남도 통영시 원문로 27 
",NO,055-648-0772
387,수서역,"
서울특별시 강남구 밤고개로 1길 10 B1
",NO,02-445-1636
386,대전송촌,"
대전광역시 대덕구 계족산로81번길 70 
",NO,042-623-6800
385,길동역,"
서울특별시 강동구 길동 389-2 길동 1층 103,110호
",NO,02-470-6032
384,분당수내,"
경기도 성남시 분당구 백현로101번길 21 
",NO,031-715-0889
383,김해이마트,"
경상남도 김해시 김해대로 2232 이마트 1층
",NO,055-339-2413
382,시흥은계,"
경기도 시흥시 은계번영길 21 
",NO,031-312-1587
381,부산역,"
부산광역시 동구 중앙대로 206 
",NO,070-4090-3721
380,석촌역,"
서울특별시 송파구 송파대로 438 106호, 107호   
",NO,02-420-4320
379,화성남양,"
경기도 화성시 남양읍 시청로 6 
",NO,031-357-4637
378,전주전북도청,"
전라북도 전주시 완산구 홍산중앙로 22 
",NO,063-903-1191
377,광주주월,"
광주광역시 남구 서문대로 749 
",NO,062-456-1181
376,광주하남,"
광주광역시 광산구 무진대로279 
",NO,062-446-0072
375,광주운암,"
광주광역시 북구 북문대로117 
",NO,062-462-1125
374,거제고현,"
경상남도 거제시 거제중앙로 1894 104호,105호
",NO,055-634-0979
373,경산영남대,"
경상북도 경산시 대학로 281-1 
",NO,053-818-7771
372,목포남악,"
전라남도 무안군 삼향읍 남악3로 79 
",NO,061-980-3310
371,대구반월당,"
대구광역시 중구 달구벌대로 2076 
",NO,070-4122-0077
370,대구교대,"
대구광역시 남구 중앙대로 243 
",NO,053-622-6348
369,성남위례,"
경기도 성남시 수정구 위례광장로 104 
",NO,031-602-6126
368,수원아주대,"
경기도 수원시 팔달구 아주로 49-1 
",NO,031-211-0369
367,부산사상,"
부산광역시 사상구 사상로 211 
",NO,051-900-5226
366,당진읍내,"
충청남도 당진시 당진중앙2로 127 금화빌딩 1층 101호
",NO,041-356-2731
365,쌍문역,"
서울특별시 도봉구 도봉로 468 1층 102호, 102-1호
",NO,02-999-5906
364,명지대,"
서울특별시 서대문구 거북골로 23 
",NO,02-374-7300
363,삼양솔샘,"
서울특별시 강북구 삼양로 162 
",NO,02-6952-3399
362,목포상동,"
전라남도 목포시 백년대로 342 
",NO,061-980-1191
361,대구동촌DT,"
대구 동구 해동로 259  
",YES,070-8851-0101
360,진주혁신,"
경상남도 진주시 충의로 20-4 1층
",NO,055-758-0250
359,대구광장,"
대구광역시 서구 달구벌대로 1689 
",NO,053-573-3030
358,낙성대역,"
서울특별시 관악구 남부순환로 1904 
",NO,02-877-6687
357,부산홈플러스아시아드,"
부산광역시 연제구 종합운동장로 7 
",NO,051-506-0122
356,천안청수,"
충청남도 천안시 동남구 청수11로 16 
",NO,041-414-1421
355,봉은사역,"
서울특별시 강남구 봉은사로 627 
",NO,02-545-5729
354,대구침산,"
대구광역시 북구 침산남로 157 
",NO,053-357-7770
353,대구시지,"
대구광역시 수성구 달구벌대로 3201 
",NO,070-4146-0154
352,석촌호수,"
서울특별시 송파구 석촌호수로 298 
",NO,02-424-0020
351,광주수완,"
광주광역시 광산구 장신로 133 1층
",NO,062-419-1131
350,김포사우,"
경기도 김포시 돌문로 43 
",NO,070-4234-3277
349,광교엘포트,"
경기도 수원시 영통구 광교중앙로 145 
",NO,031-217-5570
348,대구수성구청역,"
대구광역시 수성구 달구벌대로 2513 
",NO,053-744-3688
347,부산좌동,"
부산광역시 해운대구 해운대로 794 엘리움 빌딩 104호
",NO,051-731-7717
346,대구지산,"
대구광역시 수성구 지범로 180 1F
",NO,053-782-5761
345,수지롯데몰,"
경기도 용인시 수지구 성복2로 38 
",NO,031-5174-2654
344,대구월성,"
대구광역시 달서구 조암로 9 
",NO,053-643-8400
343,대구테크노폴리스,"
대구광역시 달성군 현풍읍 테크노상업로 62 
",NO,070-8844-1379
342,대림삼거리,"
서울특별시 영등포구 시흥대로 681 삼성YJ그랜드빌딩 신관동 1층
",NO,02-847-8255
341,부산동의대,"
부산광역시 부산진구 엄광로 176 
",NO,051-890-3366
340,부산명지국제신도시,"
부산광역시 강서구 명지국제8로 264 
",NO,051-292-2588
339,왕십리역,"
서울특별시 성동구 왕십리로 328 
",NO,02-2295-1800
338,포이사거리,"
서울특별시 강남구 논현로 84 1층
",NO,02-577-5227
337,부산W스퀘어,"
부산광역시 남구 분포로 145 1층 1055, 1056호 (용호동, 더블유)
",NO,070-8648-3439
336,동덕여대,"
서울특별시 성북구 화랑로13길 10 
",NO,02-6404-2212
335,울산옥동,"
울산광역시 남구 문수로 332 
",NO,052-271-6600
334,당산역,"
서울특별시 영등포구 양평로 58 
",NO,02-2636-1014
333,광주상무,"
광주광역시 서구 치평로 86 
",NO,062-446-1131
332,송파역,"
서울특별시 송파구 송파대로 374 
",NO,02-420-2160
331,서산호수공원,"
충청남도 서산시 호수공원 12로 26 
",NO,041-663-7852
330,대구평리DT,"
대구 서구 서대구로 111 (평리동) 1층
",YES,070-4147-7000
329,용인동백,"
경기도 용인시 기흥구 동백중앙로 283 골드프라자 A동 105호, 106호
",NO,031-285-4857
328,광주첨단,"
광주광역시 광산구 첨단중앙로 110 1층
",NO,062-413-1121
327,성남태평,"
경기도 성남시 수정구 수정로 179 
",NO,031-755-6785
326,제주대,"
제주특별자치도 제주시 제주대학로 113 
",NO,064-752-7739
325,선유도역,"
서울특별시 영등포구 양평로 121 
",NO,02-2632-1232
324,대구칠곡3지구,"
대구광역시 북구 학정로 422 1층
",NO,070-4246-5154
323,광주전남대후문,"
광주광역시 북구 우치로 124 1층
",NO,062-452-1121
322,부산반여,"
부산광역시 해운대구 선수촌로 78 
",NO,051-783-6384
321,대구상인역,"
대구 달서구 월배로 222 (상인동)  1층
",NO,053-643-0013
320,평택비전,"
경기도 평택시 비전5로 15 
",NO,031-652-6777
319,잠실역,"
서울특별시 송파구 올림픽로 293-19 
",NO,02-2202-1300
318,대구계대동문,"
대구광역시 달서구 계대동문로 9 
",NO,053-593-5050
317,대구동성로2호,"
대구광역시 중구 동성로 6길 42 
",NO,053-253-7801
316,인천길병원,"
인천광역시 남동구 구월남로 153 
",NO,070-8888-3277
315,수원장안구청,"
경기도 수원시 장안구 경수대로 927 
",NO,031-244-8490
314,동탄카림,"
경기도 화성시 동탄대로시범길 134 
",NO,031-373-2204
313,독립문,"
서울특별시 종로구 송월길 155 경희궁자이4단지 상가 1층 4104-4106호
",NO,02-730-8255
312,가양역,"
서울특별시 강서구 양천로 470 그레이스힐
",NO,02-2668-6777
311,양천향교역,"
서울특별시 강서구 강서로 471 엠코지니어스타 A동 1층 109, 110호
",NO,02-3662-6697
310,부산서면동천로,"
부산광역시 부산진구 동천로 71 
",NO,051-817-1232
309,동탄센트럴파크,"
경기도 화성시 동탄지성로 117 
",NO,031-8003-8825
308,수원영통구청,"
경기도 수원시 영통구 효원로 383 
",NO,031-217-7772
307,정동,"
서울특별시 중구 새문안로 30 
",NO,02-737-0808
306,오산대역,"
경기도 오산시 내삼미로 89 
",NO,031-378-8004
305,서판교점,"
경기도 성남시 분당구 운중로 142 판교메디컬타워 1층
",NO,031-707-7911
304,김포풍무역,"
경기도 김포시 풍무1로 65-1 풍무시티프라자
",NO,031-984-0606
303,여의도화재보험,"
서울특별시 영등포구 국제금융로 6길 38 
",NO,02-6951-1118
302,대구경북대북문,"
대구광역시 북구 대학로 87 
",NO,053-951-7802
301,선정릉역,"
서울특별시 강남구 봉은사로 328 
",NO,02-555-9389
300,약수역,"
서울특별시 중구 다산로 153 
",NO,02-2256-9891
299,동대문역,"
서울특별시 종로구 종로 263-1 
",NO,02-747-9809
298,장안사거리,"
서울특별시 동대문구 답십리로 293 
",NO,02-3390-4970
297,천안충무로,"
충청남도 천안시 서북구 충무로 201 
",NO,041-579-4321
296,용인기흥구청,"
경기도 용인시 기흥구 구갈로 71-18 기흥더샵프라임뷰
",NO,031-284-3161
295,광교경기대후문,"
경기도 수원시 영통구 대학로 34 
",NO,070-7750-2040
294,군자역,"
서울특별시 광진구 능동로 290 삼일빌딩
",NO,02-456-6444
293,신설동역,"
서울특별시 동대문구 왕산로 15-1 
",NO,02-928-0258
292,시흥대야,"
경기도 시흥시 비둘기공원로 21  대야하이빌
",NO,031-317-4901
291,동양미래대,"
서울특별시 구로구 경인로 445  동양미래대 8호관
",NO,02-2686-6890
290,인천서구청,"
인천광역시 서구 탁옥로 50 A동 1층
",NO,032-565-2481
289,성남단대오거리역,"
경기도 성남시 중원구 산성대로372번길 10 
",NO,031-732-1137
288,고덕역,"
서울특별시 강동구 동남로 75길 13-10 
",NO,02-427-0217
287,진주평거탑마트,"
경상남도 진주시 새평거로 136 
",NO,055-748-0185
286,대전은행,"
대전광역시 중구 대종로 488번길 25 
",NO,042-221-7050
285,수원호매실,"
경기도 수원시 권선구 금곡로 204 
",NO,031-292-4862
284,상암DMC푸르지오시티,"
서울특별시 마포구 월드컵북로54길 25 상암DMC 푸르지오시티 103호
",NO,02-303-4566
283,광장,"
서울특별시 광진구 아차산로 480 
",NO,02-455-2224
282,광주충장로,"
광주광역시 동구 중앙로 160번길 31-18  
",NO,062-236-1121
281,청주충북대,"
충청북도 청주시 서원구 1순환로 676  
",NO,043-267-7578
280,제주시청,"
제주특별자치도 제주시 중앙로  252  
",NO,064-759-7739
279,제주연동신시가지,"
제주특별자치도 제주시 국기로 1길 2  
",NO,064-711-1128
278,군산나운,"
전라북도 군산시 공단대로 374 
",NO,063-464-1234
277,청주대,"
충청북도 청주시 청원구 대성로 301  
",NO,043-252-8184
276,동두천,"
경기도 동두천시 지행로 81  
",NO,031-863-2270
275,대구동성로,"
대구광역시 중구 국채보상로 598  
",YES,053-255-6841
274,부산대연,"
부산광역시 남구 수영로 246  
",NO,051-612-7976
273,부산진역,"
부산광역시 동구 중앙대로 365  
",NO,051-443-3650
272,부산토곡,"
부산광역시 연제구 과정로 237번길 119  
",NO,051-753-6005
271,부산장전역,"
부산광역시 금정구 중앙대로 1719번길 30 
",NO,051-704-3535
270,부산영도,"
부산광역시 영도구 태종로 107 
",NO,051-417-7852
269,김해장유,"
경상남도 김해시 능동로 149번길 8 
",NO,055-338-1263
268,부산남천,"
부산광역시 수영구 수영로 462 
",NO,051-612-2231 
267,부산명륜,"
부산광역시 동래구 명륜로 187번길 49 
",NO,051-558-3210 
266,김해진영,"
경상남도 김해시 진영읍 김해대로361번길 16  
",NO,055-342-8781
265,부산시청,"
부산광역시 연제구 중앙대로 1043 
",NO,051-868-4140
264,부산부민,"
부산광역시 서구 구덕로 226번길 3 
",NO,051-254-6383
263,부산법원,"
부산광역시 연제구 법원로 32번길 18, 1층 101-1호(거제동) 
",NO,051-507-1230
262,김해삼계,"
경상남도 김해시 가야로 163  
",NO,055-339-4406
261,부산명지,"
부산광역시 강서구 명지오션시티4로 61 
",NO,051-203-6767
260,김해인제대,"
경상남도 김해시 인제로 184 1층
",NO,055-325-5226
259,부산정관,"
부산광역시 기장군 정관읍 정관로 565 
",NO,051-727-9900
258,부산덕천,"
부산광역시 북구 덕천1길 22 
",NO,051-337-0217
257,김해율하,"
경상남도 김해시 율하3로 42 
",NO,055-311-3940
256,부산양정,"
부산광역시 부산진구 양지로 4 
",NO,051-868-7937
255,부산주례,"
부산광역시 사상구 가야대로 366번길 43 
",NO,051-312-1588
254,부산대역,"
부산광역시 금정구 금정로 60번길 40 
",NO,051-517-3331
253,부산센텀,"
부산광역시 해운대구 센텀5로 55 
",NO,051-741-6777
252,부산경성대,"
부산광역시 남구 수영로 325번길 12 
",NO,051-625-5617
251,부산서면롯데,"
부산광역시 부산진구 가야대로 784번길 23 
",NO,051-809-8337
250,부산해운대비치,"
부산광역시 해운대구 구남로 42-1 
",NO,051-731-2234
249,부산사직,"
부산광역시 동래구 사직북로 7 
",NO,051-507-8434
248,부산중앙,"
부산광역시 중구 중앙대로 102  
",NO,051-462-6200
247,김해내동,"
경상남도 김해시 내외중앙로 74 
",NO,055-337-7735
246,부산광안비치,"
부산광역시 수영구 광안해변로 239 
",NO,051-757-2232
245,부산대,"
부산광역시 금정구 부산대학로 48 
",NO,051-513-3331
244,부산화명,"
부산광역시 북구 화명신도시로 130 
",NO,051-361-1015
243,부산동아대,"
부산광역시 사하구 낙동대로 542  
",NO,070-8876-6040
242,부산부경대,"
부산광역시 남구 용소로 24 
",NO,051-611-5617
241,부산광복,"
부산광역시 중구 광복중앙로 3-1 
",NO,051-246-7789
240,부산서면,"
부산광역시 부산진구 중앙대로 690 
",NO,051-802-9404
239,창원대방,"
경상남도 창원시 성산구 가양로 124번길 5-5 103호
",NO,055-274-7375
238,진해석동,"
경상남도 창원시 진해구 냉천로 62 
",NO,055-552-2861
237,마산경남대,"
경상남도 창원시 마산합포구 3.15대로 1  
",NO,055-246-3555
236,창원용지호수,"
경상남도 창원시 의창구 용지로 169번길 3 
",NO,055-281-5353
235,창원리베라,"
경상남도 창원시 성산구 중앙대로100번길 9 리베라컨벤션 1층 107호
",NO,055-262-6985
234,울산일산,"
울산광역시 동구 방어진순환도로 662 
",NO,052-252-8000
233,창원상남,"
경상남도 창원시 성산구 단정로 25 
",NO,055-275-4756
232,마산합성,"
경상남도 창원시 마산회원구 합성옛길 137 
",NO,055-253-0202
231,경남거창,"
경상남도 거창군 거창읍 중앙로 120 
",NO,055-945-0020
230,울산성남,"
울산광역시 중구 시계탑거리 17 
",NO,052-246-5078
229,진주중안,"
경상남도 진주시 진양호로 525 
",NO,055-748-9994
228,울산공업탑,"
울산광역시 남구 삼산로 11 
",NO,052-267-2121
227,진주경상대,"
경상남도 진주시 진주대로 548 
",NO,055-755-3477
226,울산무거,"
울산광역시 남구 대학로 108 
",NO,052-249-5008
225,울산삼산,"
울산광역시 남구 삼산로 267번길 6-15  
",NO,052-227-7700
224,경남남양산,"
경상남도 양산시 물금읍 범어로 60  
",NO,055-367-7888
223,거제아주,"
경상남도 거제시 아주1로2길 62 
",NO,055-681-5952
221,경남양산,"
경남 양산시 중부동 692-7 110호 
",NO,055-381-1100
220,아산배방,"
충청남도 아산시 배방읍 모산로 123 
",NO,041-532-8220
219,대전태평,"
대전광역시 중구 태평로 71 
",NO,042-300-7707
218,대전유성터미널,"
대전광역시 유성구 봉명동 566-4 
",NO,042-822-7006
217,대전목원대,"
대전광역시 서구 도안북로 93번길 31 
",NO,042-825-4080
216,대전전민,"
대전광역시 유성구 유성대로 1732 
",NO,042-867-6841
215,대전한남대,"
대전광역시 대덕구 한남로 25번길 5 
",NO,042-621-6213
214,대전가오,"
대전광역시 동구 동구청로 95 
",NO,042-272-9085
213,대전우송대,"
대전광역시 동구 동대전로 168 1층
",NO,042-622-5979
212,대전카이스트,"
대전광역시 유성구 대학로 291 정문술빌딩 1층
",NO,042-863-7001 
211,대전충남대정문,"
대전광역시 유성구 한밭대로 414 
",NO,042-824-1003 
210,천안신불당,"
충청남도 천안시 서북구 불당25로 138 
",NO,041-558-0017
